"subject","success","timeout","trial_index","rt","stimulus","block","category","correct","stim_type","trial_in_block","trial_label","participant_id"
"0as4avr03fxbfcd",NA,NA,6,670,"img/A_B_3_S_004.png",1,"boy",FALSE,"picture",1,"block1_1","14:53"
"0as4avr03fxbfcd",NA,NA,7,73,"img/W_G_3_S_003.png",1,"girl",TRUE,"picture",2,"block1_2","14:53"
"0as4avr03fxbfcd",NA,NA,8,367,"img/B_B_3_S_008.png",1,"boy",TRUE,"picture",3,"block1_3","14:53"
"0as4avr03fxbfcd",NA,NA,9,153,"img/B_B_3_S_008.png",1,"boy",TRUE,"picture",4,"block1_4","14:53"
"0as4avr03fxbfcd",NA,NA,10,106,"img/l_g_3_s_009.png",1,"girl",FALSE,"picture",5,"block1_5","14:53"
"0as4avr03fxbfcd",NA,NA,11,82,"img/W_G_3_S_003.png",1,"girl",FALSE,"picture",6,"block1_6","14:53"
"0as4avr03fxbfcd",NA,NA,12,115,"img/W_B_3_S_002.png",1,"boy",TRUE,"picture",7,"block1_7","14:53"
"0as4avr03fxbfcd",NA,NA,13,113,"img/l_b_3_s_010.png",1,"boy",TRUE,"picture",8,"block1_8","14:53"
"0as4avr03fxbfcd",NA,NA,14,165,"img/W_B_3_S_002.png",1,"boy",FALSE,"picture",9,"block1_9","14:53"
"0as4avr03fxbfcd",NA,NA,15,86,"img/B_G_3_S_002.png",1,"girl",FALSE,"picture",10,"block1_10","14:53"
"0as4avr03fxbfcd",NA,NA,16,5,"img/l_b_3_s_010.png",1,"boy",TRUE,"picture",11,"block1_11","14:53"
"0as4avr03fxbfcd",NA,NA,17,149,"img/A_B_3_S_004.png",1,"boy",TRUE,"picture",12,"block1_12","14:53"
"0as4avr03fxbfcd",NA,NA,18,144,"img/l_g_3_s_009.png",1,"girl",FALSE,"picture",13,"block1_13","14:53"
"0as4avr03fxbfcd",NA,NA,19,134,"img/A_G_3_S_006.png",1,"girl",FALSE,"picture",14,"block1_14","14:53"
"0as4avr03fxbfcd",NA,NA,20,140,"img/B_G_3_S_002.png",1,"girl",FALSE,"picture",15,"block1_15","14:53"
"0as4avr03fxbfcd",NA,NA,21,149,"img/A_G_3_S_006.png",1,"girl",TRUE,"picture",16,"block1_16","14:53"
"0as4avr03fxbfcd",NA,NA,23,584,"img/miracle.jpg",2,"GOOD",TRUE,"word",1,"block2_1","14:53"
"0as4avr03fxbfcd",NA,NA,24,186,"img/grief.jpg",2,"BAD",FALSE,"word",2,"block2_2","14:53"
"0as4avr03fxbfcd",NA,NA,25,128,"img/gift.jpg",2,"GOOD",TRUE,"word",3,"block2_3","14:53"
"0as4avr03fxbfcd",NA,NA,26,130,"img/lucky.jpg",2,"GOOD",TRUE,"word",4,"block2_4","14:53"
"0as4avr03fxbfcd",NA,NA,27,159,"img/lucky.jpg",2,"GOOD",TRUE,"word",5,"block2_5","14:53"
"0as4avr03fxbfcd",NA,NA,28,170,"img/tragedy.jpg",2,"BAD",FALSE,"word",6,"block2_6","14:53"
"0as4avr03fxbfcd",NA,NA,29,92,"img/grief.jpg",2,"BAD",TRUE,"word",7,"block2_7","14:53"
"0as4avr03fxbfcd",NA,NA,30,150,"img/hatred.jpg",2,"BAD",FALSE,"word",8,"block2_8","14:53"
"0as4avr03fxbfcd",NA,NA,31,152,"img/laughter.jpg",2,"GOOD",FALSE,"word",9,"block2_9","14:53"
"0as4avr03fxbfcd",NA,NA,32,120,"img/miracle.jpg",2,"GOOD",TRUE,"word",10,"block2_10","14:53"
"0as4avr03fxbfcd",NA,NA,33,132,"img/hatred.jpg",2,"BAD",TRUE,"word",11,"block2_11","14:53"
"0as4avr03fxbfcd",NA,NA,34,148,"img/laughter.jpg",2,"GOOD",TRUE,"word",12,"block2_12","14:53"
"0as4avr03fxbfcd",NA,NA,35,163,"img/gift.jpg",2,"GOOD",TRUE,"word",13,"block2_13","14:53"
"0as4avr03fxbfcd",NA,NA,36,148,"img/ugly.jpg",2,"BAD",FALSE,"word",14,"block2_14","14:53"
"0as4avr03fxbfcd",NA,NA,37,166,"img/ugly.jpg",2,"BAD",FALSE,"word",15,"block2_15","14:53"
"0as4avr03fxbfcd",NA,NA,38,123,"img/tragedy.jpg",2,"BAD",FALSE,"word",16,"block2_16","14:53"
"0as4avr03fxbfcd",NA,NA,107,220,"img/A_B_3_S_004.png",3,"boy",TRUE,"picture",1,"block3_1","14:53"
"0as4avr03fxbfcd",NA,NA,108,115,"img/ugly.jpg",3,"BAD",TRUE,"word",2,"block3_2","14:53"
"0as4avr03fxbfcd",NA,NA,109,126,"img/W_B_3_S_002.png",3,"boy",FALSE,"picture",3,"block3_3","14:53"
"0as4avr03fxbfcd",NA,NA,110,122,"img/grief.jpg",3,"BAD",FALSE,"word",4,"block3_4","14:53"
"0as4avr03fxbfcd",NA,NA,111,111,"img/W_G_3_S_003.png",3,"girl",FALSE,"picture",5,"block3_5","14:53"
"0as4avr03fxbfcd",NA,NA,112,103,"img/gift.jpg",3,"GOOD",FALSE,"word",6,"block3_6","14:53"
"0as4avr03fxbfcd",NA,NA,113,65,"img/B_G_3_S_002.png",3,"girl",FALSE,"picture",7,"block3_7","14:53"
"0as4avr03fxbfcd",NA,NA,114,105,"img/tragedy.jpg",3,"BAD",FALSE,"word",8,"block3_8","14:53"
"0as4avr03fxbfcd",NA,NA,115,92,"img/A_G_3_S_006.png",3,"girl",FALSE,"picture",9,"block3_9","14:53"
"0as4avr03fxbfcd",NA,NA,116,70,"img/laughter.jpg",3,"GOOD",TRUE,"word",10,"block3_10","14:53"
"0as4avr03fxbfcd",NA,NA,117,113,"img/l_b_3_s_010.png",3,"boy",FALSE,"picture",11,"block3_11","14:53"
"0as4avr03fxbfcd",NA,NA,118,56,"img/miracle.jpg",3,"GOOD",TRUE,"word",12,"block3_12","14:53"
"0as4avr03fxbfcd",NA,NA,119,99,"img/B_B_3_S_008.png",3,"boy",FALSE,"picture",13,"block3_13","14:53"
"0as4avr03fxbfcd",NA,NA,120,80,"img/lucky.jpg",3,"GOOD",TRUE,"word",14,"block3_14","14:53"
"0as4avr03fxbfcd",NA,NA,121,111,"img/l_g_3_s_009.png",3,"girl",TRUE,"picture",15,"block3_15","14:53"
"0as4avr03fxbfcd",NA,NA,122,71,"img/hatred.jpg",3,"BAD",FALSE,"word",16,"block3_16","14:53"
"0as4avr03fxbfcd",NA,NA,124,225,"img/l_b_3_s_010.png",4,"boy",TRUE,"picture",1,"block4_1","14:53"
"0as4avr03fxbfcd",NA,NA,125,160,"img/miracle.jpg",4,"GOOD",FALSE,"word",2,"block4_2","14:53"
"0as4avr03fxbfcd",NA,NA,126,101,"img/W_G_3_S_003.png",4,"girl",TRUE,"picture",3,"block4_3","14:53"
"0as4avr03fxbfcd",NA,NA,127,147,"img/grief.jpg",4,"BAD",FALSE,"word",4,"block4_4","14:53"
"0as4avr03fxbfcd",NA,NA,128,156,"img/l_g_3_s_009.png",4,"girl",TRUE,"picture",5,"block4_5","14:53"
"0as4avr03fxbfcd",NA,NA,129,153,"img/hatred.jpg",4,"BAD",TRUE,"word",6,"block4_6","14:53"
"0as4avr03fxbfcd",NA,NA,130,196,"img/A_B_3_S_004.png",4,"boy",TRUE,"picture",7,"block4_7","14:53"
"0as4avr03fxbfcd",NA,NA,131,175,"img/gift.jpg",4,"GOOD",TRUE,"word",8,"block4_8","14:53"
"0as4avr03fxbfcd",NA,NA,132,171,"img/A_G_3_S_006.png",4,"girl",TRUE,"picture",9,"block4_9","14:53"
"0as4avr03fxbfcd",NA,NA,133,162,"img/lucky.jpg",4,"GOOD",TRUE,"word",10,"block4_10","14:53"
"0as4avr03fxbfcd",NA,NA,134,179,"img/W_B_3_S_002.png",4,"boy",FALSE,"picture",11,"block4_11","14:53"
"0as4avr03fxbfcd",NA,NA,135,137,"img/ugly.jpg",4,"BAD",TRUE,"word",12,"block4_12","14:53"
"0as4avr03fxbfcd",NA,NA,136,161,"img/B_G_3_S_002.png",4,"girl",FALSE,"picture",13,"block4_13","14:53"
"0as4avr03fxbfcd",NA,NA,137,124,"img/laughter.jpg",4,"GOOD",FALSE,"word",14,"block4_14","14:53"
"0as4avr03fxbfcd",NA,NA,138,145,"img/B_B_3_S_008.png",4,"boy",TRUE,"picture",15,"block4_15","14:53"
"0as4avr03fxbfcd",NA,NA,139,145,"img/tragedy.jpg",4,"BAD",TRUE,"word",16,"block4_16","14:53"
"0as4avr03fxbfcd",NA,NA,140,169,"img/l_b_3_s_010.png",4,"boy",TRUE,"picture",17,"block4_17","14:53"
"0as4avr03fxbfcd",NA,NA,141,168,"img/gift.jpg",4,"GOOD",FALSE,"word",18,"block4_18","14:53"
"0as4avr03fxbfcd",NA,NA,142,183,"img/l_g_3_s_009.png",4,"girl",TRUE,"picture",19,"block4_19","14:53"
"0as4avr03fxbfcd",NA,NA,143,211,"img/hatred.jpg",4,"BAD",FALSE,"word",20,"block4_20","14:53"
"0as4avr03fxbfcd",NA,NA,144,178,"img/W_B_3_S_002.png",4,"boy",FALSE,"picture",21,"block4_21","14:53"
"0as4avr03fxbfcd",NA,NA,145,173,"img/miracle.jpg",4,"GOOD",FALSE,"word",22,"block4_22","14:53"
"0as4avr03fxbfcd",NA,NA,146,155,"img/W_G_3_S_003.png",4,"girl",FALSE,"picture",23,"block4_23","14:53"
"0as4avr03fxbfcd",NA,NA,147,175,"img/lucky.jpg",4,"GOOD",FALSE,"word",24,"block4_24","14:53"
"0as4avr03fxbfcd",NA,NA,148,159,"img/B_G_3_S_002.png",4,"girl",FALSE,"picture",25,"block4_25","14:53"
"0as4avr03fxbfcd",NA,NA,149,8,"img/grief.jpg",4,"BAD",TRUE,"word",26,"block4_26","14:53"
"0as4avr03fxbfcd",NA,NA,150,197,"img/A_B_3_S_004.png",4,"boy",TRUE,"picture",27,"block4_27","14:53"
"0as4avr03fxbfcd",NA,NA,151,181,"img/tragedy.jpg",4,"BAD",TRUE,"word",28,"block4_28","14:53"
"0as4avr03fxbfcd",NA,NA,152,188,"img/A_G_3_S_006.png",4,"girl",FALSE,"picture",29,"block4_29","14:53"
"0as4avr03fxbfcd",NA,NA,153,154,"img/laughter.jpg",4,"GOOD",TRUE,"word",30,"block4_30","14:53"
"0as4avr03fxbfcd",NA,NA,154,187,"img/B_B_3_S_008.png",4,"boy",FALSE,"picture",31,"block4_31","14:53"
"0as4avr03fxbfcd",NA,NA,155,1,"img/ugly.jpg",4,"BAD",TRUE,"word",32,"block4_32","14:53"
"0as4avr03fxbfcd",NA,NA,90,214,"img/A_B_3_S_004.png",5,"boy",TRUE,"picture",1,"block5_1","14:53"
"0as4avr03fxbfcd",NA,NA,91,135,"img/A_G_3_S_006.png",5,"girl",FALSE,"picture",2,"block5_2","14:53"
"0as4avr03fxbfcd",NA,NA,92,102,"img/B_G_3_S_002.png",5,"girl",FALSE,"picture",3,"block5_3","14:53"
"0as4avr03fxbfcd",NA,NA,93,129,"img/W_G_3_S_003.png",5,"girl",TRUE,"picture",4,"block5_4","14:53"
"0as4avr03fxbfcd",NA,NA,94,135,"img/W_B_3_S_002.png",5,"boy",TRUE,"picture",5,"block5_5","14:53"
"0as4avr03fxbfcd",NA,NA,95,141,"img/l_g_3_s_009.png",5,"girl",FALSE,"picture",6,"block5_6","14:53"
"0as4avr03fxbfcd",NA,NA,96,128,"img/l_b_3_s_010.png",5,"boy",TRUE,"picture",7,"block5_7","14:53"
"0as4avr03fxbfcd",NA,NA,97,134,"img/B_B_3_S_008.png",5,"boy",TRUE,"picture",8,"block5_8","14:53"
"0as4avr03fxbfcd",NA,NA,98,149,"img/l_b_3_s_010.png",5,"boy",TRUE,"picture",9,"block5_9","14:53"
"0as4avr03fxbfcd",NA,NA,99,139,"img/A_G_3_S_006.png",5,"girl",FALSE,"picture",10,"block5_10","14:53"
"0as4avr03fxbfcd",NA,NA,100,105,"img/W_B_3_S_002.png",5,"boy",FALSE,"picture",11,"block5_11","14:53"
"0as4avr03fxbfcd",NA,NA,101,123,"img/W_G_3_S_003.png",5,"girl",FALSE,"picture",12,"block5_12","14:53"
"0as4avr03fxbfcd",NA,NA,102,107,"img/B_B_3_S_008.png",5,"boy",TRUE,"picture",13,"block5_13","14:53"
"0as4avr03fxbfcd",NA,NA,103,135,"img/B_G_3_S_002.png",5,"girl",FALSE,"picture",14,"block5_14","14:53"
"0as4avr03fxbfcd",NA,NA,104,91,"img/A_B_3_S_004.png",5,"boy",FALSE,"picture",15,"block5_15","14:53"
"0as4avr03fxbfcd",NA,NA,105,114,"img/l_g_3_s_009.png",5,"girl",TRUE,"picture",16,"block5_16","14:53"
"0as4avr03fxbfcd",NA,NA,40,327,"img/A_B_3_S_004.png",6,"boy",FALSE,"picture",1,"block6_1","14:53"
"0as4avr03fxbfcd",NA,NA,41,121,"img/grief.jpg",6,"BAD",FALSE,"word",2,"block6_2","14:53"
"0as4avr03fxbfcd",NA,NA,42,142,"img/l_b_3_s_010.png",6,"boy",TRUE,"picture",3,"block6_3","14:53"
"0as4avr03fxbfcd",NA,NA,43,161,"img/hatred.jpg",6,"BAD",TRUE,"word",4,"block6_4","14:53"
"0as4avr03fxbfcd",NA,NA,44,178,"img/A_G_3_S_006.png",6,"girl",TRUE,"picture",5,"block6_5","14:53"
"0as4avr03fxbfcd",NA,NA,45,167,"img/gift.jpg",6,"GOOD",FALSE,"word",6,"block6_6","14:53"
"0as4avr03fxbfcd",NA,NA,46,110,"img/W_G_3_S_003.png",6,"girl",TRUE,"picture",7,"block6_7","14:53"
"0as4avr03fxbfcd",NA,NA,47,123,"img/ugly.jpg",6,"BAD",TRUE,"word",8,"block6_8","14:53"
"0as4avr03fxbfcd",NA,NA,48,154,"img/B_B_3_S_008.png",6,"boy",TRUE,"picture",9,"block6_9","14:53"
"0as4avr03fxbfcd",NA,NA,49,117,"img/tragedy.jpg",6,"BAD",FALSE,"word",10,"block6_10","14:53"
"0as4avr03fxbfcd",NA,NA,50,124,"img/l_g_3_s_009.png",6,"girl",TRUE,"picture",11,"block6_11","14:53"
"0as4avr03fxbfcd",NA,NA,51,157,"img/laughter.jpg",6,"GOOD",TRUE,"word",12,"block6_12","14:53"
"0as4avr03fxbfcd",NA,NA,52,174,"img/B_G_3_S_002.png",6,"girl",TRUE,"picture",13,"block6_13","14:53"
"0as4avr03fxbfcd",NA,NA,53,152,"img/miracle.jpg",6,"GOOD",TRUE,"word",14,"block6_14","14:53"
"0as4avr03fxbfcd",NA,NA,54,166,"img/W_B_3_S_002.png",6,"boy",FALSE,"picture",15,"block6_15","14:53"
"0as4avr03fxbfcd",NA,NA,55,129,"img/lucky.jpg",6,"GOOD",TRUE,"word",16,"block6_16","14:53"
"0as4avr03fxbfcd",NA,NA,57,287,"img/B_B_3_S_008.png",7,"boy",TRUE,"picture",1,"block7_1","14:53"
"0as4avr03fxbfcd",NA,NA,58,178,"img/ugly.jpg",7,"BAD",TRUE,"word",2,"block7_2","14:53"
"0as4avr03fxbfcd",NA,NA,59,10,"img/A_G_3_S_006.png",7,"girl",FALSE,"picture",3,"block7_3","14:53"
"0as4avr03fxbfcd",NA,NA,60,157,"img/miracle.jpg",7,"GOOD",TRUE,"word",4,"block7_4","14:53"
"0as4avr03fxbfcd",NA,NA,61,211,"img/W_G_3_S_003.png",7,"girl",TRUE,"picture",5,"block7_5","14:53"
"0as4avr03fxbfcd",NA,NA,62,198,"img/tragedy.jpg",7,"BAD",TRUE,"word",6,"block7_6","14:53"
"0as4avr03fxbfcd",NA,NA,63,10,"img/l_b_3_s_010.png",7,"boy",TRUE,"picture",7,"block7_7","14:53"
"0as4avr03fxbfcd",NA,NA,64,205,"img/grief.jpg",7,"BAD",TRUE,"word",8,"block7_8","14:53"
"0as4avr03fxbfcd",NA,NA,65,210,"img/B_G_3_S_002.png",7,"girl",FALSE,"picture",9,"block7_9","14:53"
"0as4avr03fxbfcd",NA,NA,66,140,"img/lucky.jpg",7,"GOOD",TRUE,"word",10,"block7_10","14:53"
"0as4avr03fxbfcd",NA,NA,67,639,"img/l_g_3_s_009.png",7,"girl",FALSE,"picture",11,"block7_11","14:53"
"0as4avr03fxbfcd",NA,NA,68,89,"img/hatred.jpg",7,"BAD",FALSE,"word",12,"block7_12","14:53"
"0as4avr03fxbfcd",NA,NA,69,110,"img/W_B_3_S_002.png",7,"boy",TRUE,"picture",13,"block7_13","14:53"
"0as4avr03fxbfcd",NA,NA,70,114,"img/laughter.jpg",7,"GOOD",TRUE,"word",14,"block7_14","14:53"
"0as4avr03fxbfcd",NA,NA,71,113,"img/A_B_3_S_004.png",7,"boy",TRUE,"picture",15,"block7_15","14:53"
"0as4avr03fxbfcd",NA,NA,72,144,"img/gift.jpg",7,"GOOD",FALSE,"word",16,"block7_16","14:53"
"0as4avr03fxbfcd",NA,NA,73,122,"img/l_b_3_s_010.png",7,"boy",TRUE,"picture",17,"block7_17","14:53"
"0as4avr03fxbfcd",NA,NA,74,83,"img/gift.jpg",7,"GOOD",TRUE,"word",18,"block7_18","14:53"
"0as4avr03fxbfcd",NA,NA,75,99,"img/A_B_3_S_004.png",7,"boy",TRUE,"picture",19,"block7_19","14:53"
"0as4avr03fxbfcd",NA,NA,76,134,"img/miracle.jpg",7,"GOOD",TRUE,"word",20,"block7_20","14:53"
"0as4avr03fxbfcd",NA,NA,77,127,"img/W_G_3_S_003.png",7,"girl",FALSE,"picture",21,"block7_21","14:53"
"0as4avr03fxbfcd",NA,NA,78,73,"img/laughter.jpg",7,"GOOD",TRUE,"word",22,"block7_22","14:53"
"0as4avr03fxbfcd",NA,NA,79,152,"img/B_G_3_S_002.png",7,"girl",FALSE,"picture",23,"block7_23","14:53"
"0as4avr03fxbfcd",NA,NA,80,123,"img/hatred.jpg",7,"BAD",TRUE,"word",24,"block7_24","14:53"
"0as4avr03fxbfcd",NA,NA,81,113,"img/l_g_3_s_009.png",7,"girl",FALSE,"picture",25,"block7_25","14:53"
"0as4avr03fxbfcd",NA,NA,82,128,"img/ugly.jpg",7,"BAD",FALSE,"word",26,"block7_26","14:53"
"0as4avr03fxbfcd",NA,NA,83,95,"img/B_B_3_S_008.png",7,"boy",FALSE,"picture",27,"block7_27","14:53"
"0as4avr03fxbfcd",NA,NA,84,91,"img/lucky.jpg",7,"GOOD",TRUE,"word",28,"block7_28","14:53"
"0as4avr03fxbfcd",NA,NA,85,154,"img/A_G_3_S_006.png",7,"girl",FALSE,"picture",29,"block7_29","14:53"
"0as4avr03fxbfcd",NA,NA,86,109,"img/grief.jpg",7,"BAD",FALSE,"word",30,"block7_30","14:53"
"0as4avr03fxbfcd",NA,NA,87,135,"img/W_B_3_S_002.png",7,"boy",FALSE,"picture",31,"block7_31","14:53"
"0as4avr03fxbfcd",NA,NA,88,117,"img/tragedy.jpg",7,"BAD",FALSE,"word",32,"block7_32","14:53"
"7yov0tkgt2lcddf",NA,NA,6,1609,"img/B_G_3_S_002.png",1,"girl",FALSE,"picture",1,"block1_1","rest"
"7yov0tkgt2lcddf",NA,NA,7,95,"img/A_G_3_S_006.png",1,"girl",FALSE,"picture",2,"block1_2","rest"
"7yov0tkgt2lcddf",NA,NA,8,78,"img/l_g_3_s_009.png",1,"girl",TRUE,"picture",3,"block1_3","rest"
"7yov0tkgt2lcddf",NA,NA,9,73,"img/B_G_3_S_002.png",1,"girl",FALSE,"picture",4,"block1_4","rest"
"7yov0tkgt2lcddf",NA,NA,10,83,"img/W_B_3_S_002.png",1,"boy",TRUE,"picture",5,"block1_5","rest"
"7yov0tkgt2lcddf",NA,NA,11,138,"img/l_g_3_s_009.png",1,"girl",FALSE,"picture",6,"block1_6","rest"
"7yov0tkgt2lcddf",NA,NA,12,98,"img/A_B_3_S_004.png",1,"boy",TRUE,"picture",7,"block1_7","rest"
"7yov0tkgt2lcddf",NA,NA,13,140,"img/W_B_3_S_002.png",1,"boy",FALSE,"picture",8,"block1_8","rest"
"7yov0tkgt2lcddf",NA,NA,14,48,"img/A_G_3_S_006.png",1,"girl",TRUE,"picture",9,"block1_9","rest"
"7yov0tkgt2lcddf",NA,NA,15,7,"img/A_B_3_S_004.png",1,"boy",TRUE,"picture",10,"block1_10","rest"
"7yov0tkgt2lcddf",NA,NA,16,130,"img/l_b_3_s_010.png",1,"boy",TRUE,"picture",11,"block1_11","rest"
"7yov0tkgt2lcddf",NA,NA,17,121,"img/W_G_3_S_003.png",1,"girl",FALSE,"picture",12,"block1_12","rest"
"7yov0tkgt2lcddf",NA,NA,18,96,"img/W_G_3_S_003.png",1,"girl",TRUE,"picture",13,"block1_13","rest"
"7yov0tkgt2lcddf",NA,NA,19,103,"img/B_B_3_S_008.png",1,"boy",FALSE,"picture",14,"block1_14","rest"
"7yov0tkgt2lcddf",NA,NA,20,57,"img/B_B_3_S_008.png",1,"boy",TRUE,"picture",15,"block1_15","rest"
"7yov0tkgt2lcddf",NA,NA,21,86,"img/l_b_3_s_010.png",1,"boy",TRUE,"picture",16,"block1_16","rest"
"7yov0tkgt2lcddf",NA,NA,23,213,"img/miracle.jpg",2,"GOOD",TRUE,"word",1,"block2_1","rest"
"7yov0tkgt2lcddf",NA,NA,24,56,"img/lucky.jpg",2,"GOOD",FALSE,"word",2,"block2_2","rest"
"7yov0tkgt2lcddf",NA,NA,25,27,"img/lucky.jpg",2,"GOOD",FALSE,"word",3,"block2_3","rest"
"7yov0tkgt2lcddf",NA,NA,26,65,"img/gift.jpg",2,"GOOD",FALSE,"word",4,"block2_4","rest"
"7yov0tkgt2lcddf",NA,NA,27,70,"img/hatred.jpg",2,"BAD",TRUE,"word",5,"block2_5","rest"
"7yov0tkgt2lcddf",NA,NA,28,93,"img/gift.jpg",2,"GOOD",FALSE,"word",6,"block2_6","rest"
"7yov0tkgt2lcddf",NA,NA,29,72,"img/tragedy.jpg",2,"BAD",TRUE,"word",7,"block2_7","rest"
"7yov0tkgt2lcddf",NA,NA,30,80,"img/grief.jpg",2,"BAD",TRUE,"word",8,"block2_8","rest"
"7yov0tkgt2lcddf",NA,NA,31,54,"img/ugly.jpg",2,"BAD",FALSE,"word",9,"block2_9","rest"
"7yov0tkgt2lcddf",NA,NA,32,64,"img/laughter.jpg",2,"GOOD",FALSE,"word",10,"block2_10","rest"
"7yov0tkgt2lcddf",NA,NA,33,58,"img/miracle.jpg",2,"GOOD",TRUE,"word",11,"block2_11","rest"
"7yov0tkgt2lcddf",NA,NA,34,154,"img/ugly.jpg",2,"BAD",TRUE,"word",12,"block2_12","rest"
"7yov0tkgt2lcddf",NA,NA,35,106,"img/tragedy.jpg",2,"BAD",TRUE,"word",13,"block2_13","rest"
"7yov0tkgt2lcddf",NA,NA,36,95,"img/grief.jpg",2,"BAD",TRUE,"word",14,"block2_14","rest"
"7yov0tkgt2lcddf",NA,NA,37,93,"img/hatred.jpg",2,"BAD",TRUE,"word",15,"block2_15","rest"
"7yov0tkgt2lcddf",NA,NA,38,76,"img/laughter.jpg",2,"GOOD",FALSE,"word",16,"block2_16","rest"
"7yov0tkgt2lcddf",NA,NA,40,187,"img/B_B_3_S_008.png",3,"boy",TRUE,"picture",1,"block3_1","rest"
"7yov0tkgt2lcddf",NA,NA,41,8,"img/gift.jpg",3,"GOOD",TRUE,"word",2,"block3_2","rest"
"7yov0tkgt2lcddf",NA,NA,42,113,"img/A_B_3_S_004.png",3,"boy",FALSE,"picture",3,"block3_3","rest"
"7yov0tkgt2lcddf",NA,NA,43,95,"img/grief.jpg",3,"BAD",TRUE,"word",4,"block3_4","rest"
"7yov0tkgt2lcddf",NA,NA,44,63,"img/W_G_3_S_003.png",3,"girl",TRUE,"picture",5,"block3_5","rest"
"7yov0tkgt2lcddf",NA,NA,45,60,"img/hatred.jpg",3,"BAD",TRUE,"word",6,"block3_6","rest"
"7yov0tkgt2lcddf",NA,NA,46,82,"img/l_b_3_s_010.png",3,"boy",TRUE,"picture",7,"block3_7","rest"
"7yov0tkgt2lcddf",NA,NA,47,72,"img/miracle.jpg",3,"GOOD",TRUE,"word",8,"block3_8","rest"
"7yov0tkgt2lcddf",NA,NA,48,78,"img/W_B_3_S_002.png",3,"boy",TRUE,"picture",9,"block3_9","rest"
"7yov0tkgt2lcddf",NA,NA,49,75,"img/tragedy.jpg",3,"BAD",TRUE,"word",10,"block3_10","rest"
"7yov0tkgt2lcddf",NA,NA,50,61,"img/l_g_3_s_009.png",3,"girl",TRUE,"picture",11,"block3_11","rest"
"7yov0tkgt2lcddf",NA,NA,51,79,"img/laughter.jpg",3,"GOOD",FALSE,"word",12,"block3_12","rest"
"7yov0tkgt2lcddf",NA,NA,52,133,"img/B_G_3_S_002.png",3,"girl",FALSE,"picture",13,"block3_13","rest"
"7yov0tkgt2lcddf",NA,NA,53,53,"img/lucky.jpg",3,"GOOD",FALSE,"word",14,"block3_14","rest"
"7yov0tkgt2lcddf",NA,NA,54,54,"img/A_G_3_S_006.png",3,"girl",FALSE,"picture",15,"block3_15","rest"
"7yov0tkgt2lcddf",NA,NA,55,66,"img/ugly.jpg",3,"BAD",TRUE,"word",16,"block3_16","rest"
"7yov0tkgt2lcddf",NA,NA,57,182,"img/A_B_3_S_004.png",4,"boy",TRUE,"picture",1,"block4_1","rest"
"7yov0tkgt2lcddf",NA,NA,58,112,"img/grief.jpg",4,"BAD",TRUE,"word",2,"block4_2","rest"
"7yov0tkgt2lcddf",NA,NA,59,113,"img/W_B_3_S_002.png",4,"boy",TRUE,"picture",3,"block4_3","rest"
"7yov0tkgt2lcddf",NA,NA,60,106,"img/ugly.jpg",4,"BAD",TRUE,"word",4,"block4_4","rest"
"7yov0tkgt2lcddf",NA,NA,61,109,"img/l_b_3_s_010.png",4,"boy",TRUE,"picture",5,"block4_5","rest"
"7yov0tkgt2lcddf",NA,NA,62,109,"img/miracle.jpg",4,"GOOD",FALSE,"word",6,"block4_6","rest"
"7yov0tkgt2lcddf",NA,NA,63,79,"img/A_G_3_S_006.png",4,"girl",TRUE,"picture",7,"block4_7","rest"
"7yov0tkgt2lcddf",NA,NA,64,62,"img/laughter.jpg",4,"GOOD",TRUE,"word",8,"block4_8","rest"
"7yov0tkgt2lcddf",NA,NA,65,109,"img/B_G_3_S_002.png",4,"girl",FALSE,"picture",9,"block4_9","rest"
"7yov0tkgt2lcddf",NA,NA,66,85,"img/hatred.jpg",4,"BAD",TRUE,"word",10,"block4_10","rest"
"7yov0tkgt2lcddf",NA,NA,67,101,"img/B_B_3_S_008.png",4,"boy",TRUE,"picture",11,"block4_11","rest"
"7yov0tkgt2lcddf",NA,NA,68,84,"img/gift.jpg",4,"GOOD",FALSE,"word",12,"block4_12","rest"
"7yov0tkgt2lcddf",NA,NA,69,25,"img/l_g_3_s_009.png",4,"girl",FALSE,"picture",13,"block4_13","rest"
"7yov0tkgt2lcddf",NA,NA,70,41,"img/lucky.jpg",4,"GOOD",FALSE,"word",14,"block4_14","rest"
"7yov0tkgt2lcddf",NA,NA,71,56,"img/W_G_3_S_003.png",4,"girl",FALSE,"picture",15,"block4_15","rest"
"7yov0tkgt2lcddf",NA,NA,72,38,"img/tragedy.jpg",4,"BAD",TRUE,"word",16,"block4_16","rest"
"7yov0tkgt2lcddf",NA,NA,73,150,"img/B_B_3_S_008.png",4,"boy",TRUE,"picture",17,"block4_17","rest"
"7yov0tkgt2lcddf",NA,NA,74,119,"img/grief.jpg",4,"BAD",TRUE,"word",18,"block4_18","rest"
"7yov0tkgt2lcddf",NA,NA,75,347,"img/W_G_3_S_003.png",4,"girl",FALSE,"picture",19,"block4_19","rest"
"7yov0tkgt2lcddf",NA,NA,76,17,"img/lucky.jpg",4,"GOOD",FALSE,"word",20,"block4_20","rest"
"7yov0tkgt2lcddf",NA,NA,77,75,"img/A_G_3_S_006.png",4,"girl",FALSE,"picture",21,"block4_21","rest"
